"id","name","netacuity_id","targeting_tag","state_id"
51001804,Itanagar,"1804",CITY_ITANAGAR,52023842
51007387,Pune,"7387",CITY_PUNE,52001320
51010238,New Delhi,"10238",CITY_NEW_DELHI,52009999
51010326,Calcutta,"10326",CITY_CALCUTTA,52001309
51010358,Delhi,"10358",CITY_DELHI,52009999
51011115,Bangalore,"11115",CITY_BANGALORE,52010011
51014285,Mathura,"14285",CITY_MATHURA,52010044
51014291,Mangalore,"14291",CITY_MANGALORE,52010011
51014361,Hyderabad,"14361",CITY_HYDERABAD,52033962
51014363,Allahabad,"14363",CITY_ALLAHABAD,52010044
51014364,Faridabad City,"14364",CITY_FARIDABAD_CITY,52010008
51014366,Puducherry,"14366",CITY_PUDUCHERRY,52010034
51014379,Mysore,"14379",CITY_MYSORE,52010011
51014380,Dehradun,"14380",CITY_DEHRADUN,52028102
51014381,Chandigarh,"14381",CITY_CHANDIGARH,52024520
51014382,Lucknow,"14382",CITY_LUCKNOW,52010044
51014384,Nagpur City,"14384",CITY_NAGPUR_CITY,52001320
51014385,Kanpur,"14385",CITY_KANPUR,52010044
51014386,Gwalior City,"14386",CITY_GWALIOR_CITY,52010027
51014387,Madurai,"14387",CITY_MADURAI,52010036
51014388,Kottayam,"14388",CITY_KOTTAYAM,52010018
51014389,Shillong,"14389",CITY_SHILLONG,52010026
51014390,Silchar,"14390",CITY_SILCHAR,52009997
51014391,Agartala,"14391",CITY_AGARTALA,52010043
51014392,Bhopal,"14392",CITY_BHOPAL,52010027
51014393,Simla,"14393",CITY_SIMLA,52010035
51014394,Surat,"14394",CITY_SURAT,52010002
51014395,Amritsar,"14395",CITY_AMRITSAR,52010031
51014519,Ambala,"14519",CITY_AMBALA,52010008
51014520,Warangal,"14520",CITY_WARANGAL,52033962
51014521,Vadodara,"14521",CITY_VADODARA,52010002
51014522,Vijayawada,"14522",CITY_VIJAYAWADA,52009994
51014523,Guwahati,"14523",CITY_GUWAHATI,52009997
51014524,Udaipur,"14524",CITY_UDAIPUR,52010035
51014525,Bhubaneswar,"14525",CITY_BHUBANESWAR,52010030
51014526,Anand,"14526",CITY_ANAND,52010002
51014527,Varanasi,"14527",CITY_VARANASI,52010044
51014529,Valsad,"14529",CITY_VALSAD,52010002
51014530,Coimbatore,"14530",CITY_COIMBATORE,52010036
51014531,Ludhiana,"14531",CITY_LUDHIANA,52010031
51014532,Tumkur,"14532",CITY_TUMKUR,52010011
51014533,Shimoga,"14533",CITY_SHIMOGA,52010011
51014534,Belgaum,"14534",CITY_BELGAUM,52010011
51014557,Kota,"14557",CITY_KOTA,52010035
51014689,Nanded,"14689",CITY_NANDED,52001320
51014691,Bharuch,"14691",CITY_BHARUCH,52010002
51014692,Solapur,"14692",CITY_SOLAPUR,52001320
51014693,Kolhapur,"14693",CITY_KOLHAPUR,52001320
51014694,Sangli,"14694",CITY_SANGLI,52001320
51014695,Dhanbad,"14695",CITY_DHANBAD,52028057
51014697,Sivakasi,"14697",CITY_SIVAKASI,52010036
51014698,Vellore,"14698",CITY_VELLORE,52010036
51016050,Gurgaon,"16050",CITY_GURGAON,52010008
